,date,ADX,SMA,RSI,MACD,MACD_Hist,MACD_Signal,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,Target
21,1998-03-23,46.1205,26.3510,61.7121,1.6337,-0.0202,1.6539,25.9400,26.2500,24.6200,26.1200,0.8267,3703000,0.0000,1.0000,0.8308
22,1998-03-24,44.1575,26.7450,71.7018,1.6921,0.0305,1.6616,26.3700,28.0000,26.2500,28.0000,0.8862,6035100,0.0000,1.0000,0.8071
23,1998-03-25,42.3908,26.8490,63.4793,1.6515,-0.0080,1.6596,27.6200,27.7500,26.3700,27.1600,0.8596,3458700,0.0000,1.0000,0.7913
24,1998-03-26,40.8008,26.8050,58.1839,1.5530,-0.0852,1.6382,26.7500,27.0000,26.4400,26.5600,0.8406,1812200,0.0000,1.0000,0.8109
25,1998-03-27,39.8087,26.7870,60.5025,1.4885,-0.1198,1.6083,26.6200,27.3100,26.3700,26.9400,0.8527,2282100,0.0000,1.0000,0.8368
26,1998-03-30,39.1860,26.8620,63.4642,1.4609,-0.1180,1.5788,26.7500,27.5000,26.7500,27.4400,0.8685,2238400,0.0000,1.0000,0.8527
27,1998-03-31,39.0650,26.9780,63.8259,1.4273,-0.1212,1.5485,27.4400,27.8100,27.2500,27.5000,0.8704,2383000,0.0000,1.0000,0.8685
28,1998-04-01,38.3612,27.0340,63.8259,1.3848,-0.1310,1.5158,27.4400,27.8100,27.0600,27.5000,0.8704,1668600,0.0000,1.0000,0.9058
29,1998-04-02,37.3401,27.0900,61.4479,1.3206,-0.1562,1.4767,27.3100,27.4400,26.9400,27.3100,0.8644,1734900,0.0000,1.0000,0.8843
30,1998-04-03,35.9836,27.1590,58.2736,1.2352,-0.1932,1.4284,27.1200,27.2500,26.8100,27.0600,0.8565,1813100,0.0000,1.0000,0.9179
31,1998-04-06,32.8666,27.1720,49.1359,1.0897,-0.2710,1.3607,27.0000,27.0000,26.1900,26.2500,0.8308,3103500,0.0000,1.0000,0.9179
32,1998-04-07,31.8867,26.9220,42.3103,0.9034,-0.3658,1.2692,25.8100,26.0000,24.8700,25.5000,0.8071,2613400,0.0000,1.0000,0.8704
33,1998-04-08,31.3028,26.7060,38.3628,0.7073,-0.4496,1.1568,25.2500,25.3700,24.6900,25.0000,0.7913,2010700,0.0000,1.0000,0.8764
34,1998-04-09,29.4311,26.6120,45.3835,0.5950,-0.4495,1.0445,25.0600,25.8700,25.0000,25.6200,0.8109,1520600,0.0000,1.0000,0.8843
35,1998-04-13,27.0636,26.5620,53.2146,0.5657,-0.3830,0.9487,25.6200,26.6900,25.0000,26.4400,0.8368,2574100,0.0000,1.0000,0.8783
36,1998-04-14,25.9697,26.5120,57.3571,0.5761,-0.2981,0.8742,26.3700,27.2500,26.3700,26.9400,0.8527,2927200,0.0000,1.0000,0.8527
37,1998-04-15,25.4192,26.5060,61.1766,0.6177,-0.2052,0.8229,27.1900,27.5000,26.6200,27.4400,0.8685,4977800,0.0000,1.0000,0.8546
38,1998-04-16,27.5307,26.6180,68.5607,0.7373,-0.0685,0.8058,29.2500,29.6200,28.1900,28.6200,0.9058,16410300,0.0000,1.0000,0.8663
39,1998-04-17,28.2720,26.6810,61.1176,0.7684,-0.0299,0.7983,28.5600,28.6200,27.6900,27.9400,0.8843,5287200,0.0000,1.0000,0.8862
40,1998-04-20,29.8107,26.8750,67.2716,0.8685,0.0562,0.8123,27.6200,29.5000,27.5600,29.0000,0.9179,4623000,0.0000,1.0000,0.9198
41,1998-04-21,31.1955,27.1500,67.2716,0.9371,0.0998,0.8373,29.0600,29.1200,28.5000,29.0000,0.9179,3107400,0.0000,1.0000,0.9397
42,1998-04-22,30.1691,27.3500,52.6997,0.8605,0.0185,0.8419,28.7500,29.0000,27.5000,27.5000,0.8704,2544200,0.0000,1.0000,0.9593
43,1998-04-23,28.6203,27.6190,54.0991,0.8058,-0.0289,0.8347,27.4400,29.0000,27.1900,27.6900,0.8764,4243700,0.0000,1.0000,0.9555
44,1998-04-24,27.2265,27.8510,56.0021,0.7737,-0.0488,0.8225,27.7500,28.2500,27.5000,27.9400,0.8843,1924500,0.0000,1.0000,0.9634
45,1998-04-27,24.5691,27.9820,54.1078,0.7246,-0.0783,0.8029,26.7500,27.7500,26.7500,27.7500,0.8783,3658900,0.0000,1.0000,0.9793
46,1998-04-28,23.0728,27.9820,46.6356,0.6132,-0.1517,0.7650,27.8700,28.0000,26.2500,26.9400,0.8527,2117600,0.0000,1.0000,0.9533
47,1998-04-29,21.7261,27.9380,47.2353,0.5238,-0.1929,0.7167,26.9400,27.4400,26.7500,27.0000,0.8546,1692300,0.0000,1.0000,0.9634
48,1998-04-30,20.0920,27.8130,51.0079,0.4773,-0.1916,0.6689,27.3700,27.6200,27.0600,27.3700,0.8663,1606700,0.0000,1.0000,0.9514
49,1998-05-01,18.9170,27.8190,56.8453,0.4856,-0.1466,0.6322,27.5000,28.2500,26.8700,28.0000,0.8862,1643500,0.0000,1.0000,0.9356
50,1998-05-04,19.9044,27.8250,64.7068,0.5712,-0.0488,0.6200,28.8700,29.5000,28.8700,29.0600,0.9198,5099500,0.0000,1.0000,0.9020
51,1998-05-05,21.2798,27.8940,68.4967,0.6820,0.0496,0.6324,29.2500,29.8700,29.1200,29.6900,0.9397,3743600,0.0000,1.0000,0.9296
52,1998-05-06,23.2126,28.1750,71.8071,0.8105,0.1425,0.6680,29.8700,30.4400,29.2500,30.3100,0.9593,8009000,0.0000,1.0000,0.9356
53,1998-05-07,25.1627,28.4250,70.2203,0.8924,0.1795,0.7129,30.5600,30.6200,29.8700,30.1900,0.9555,4936600,0.0000,1.0000,0.9137
54,1998-05-08,26.9178,28.6750,71.6695,0.9663,0.2027,0.7636,30.0600,30.5000,29.9400,30.4400,0.9634,2418000,0.0000,1.0000,0.8821
55,1998-05-11,29.7236,28.9940,74.4343,1.0531,0.2316,0.8215,30.8700,31.6200,30.7500,30.9400,0.9793,5937700,0.0000,1.0000,0.8447
56,1998-05-12,29.9744,29.3120,63.1960,1.0436,0.1777,0.8659,30.5600,30.7500,29.9400,30.1200,0.9533,2301900,0.0000,1.0000,0.8466
57,1998-05-13,29.3998,29.6560,65.4574,1.0499,0.1472,0.9027,30.0600,30.8100,29.6200,30.4400,0.9634,2807300,0.0000,1.0000,0.8685
58,1998-05-14,28.8827,29.9250,60.5486,1.0125,0.0878,0.9247,30.3700,30.4400,29.7500,30.0600,0.9514,1452500,0.0000,1.0000,0.8425
59,1998-05-15,27.1186,30.0810,54.5661,0.9318,0.0057,0.9261,30.0600,30.3700,29.2500,29.5600,0.9356,2433800,0.0000,1.0000,0.8308
60,1998-05-18,25.1708,30.0250,44.2640,0.7734,-0.1222,0.8955,29.3700,29.5600,28.3700,28.5000,0.9020,2074900,0.0000,1.0000,0.8504
61,1998-05-19,23.4177,29.9930,52.4508,0.7099,-0.1486,0.8584,28.9400,29.4400,28.8100,29.3700,0.9296,1948800,0.0000,1.0000,0.8327
62,1998-05-20,21.3117,29.9180,54.0873,0.6672,-0.1530,0.8202,29.6200,29.8700,28.7500,29.5600,0.9356,1698000,0.0000,1.0000,0.8485
63,1998-05-21,19.2545,29.7860,47.4920,0.5711,-0.1993,0.7703,29.5600,29.6900,28.6200,28.8700,0.9137,1169600,0.0000,1.0000,0.8504
64,1998-05-22,19.9147,29.5290,39.6971,0.4095,-0.2887,0.6982,28.7500,28.7500,27.3100,27.8700,0.8821,2380300,0.0000,1.0000,0.8625
65,1998-05-26,21.4654,29.1040,32.6674,0.1841,-0.4113,0.5954,28.0600,28.2500,26.6200,26.6900,0.8447,2783700,0.0000,1.0000,0.8941
66,1998-05-27,23.9716,28.7670,33.3343,0.0102,-0.4681,0.4783,25.6900,26.8100,25.6200,26.7500,0.8466,3305300,0.0000,1.0000,0.8881
67,1998-05-28,23.7591,28.4670,40.8244,-0.0711,-0.4396,0.3684,26.7500,27.8700,26.7500,27.4400,0.8685,2665100,0.0000,1.0000,0.8802
68,1998-05-29,23.9733,28.1230,35.5503,-0.1994,-0.4543,0.2549,27.5000,27.5600,26.4400,26.6200,0.8425,1935000,0.0000,1.0000,0.8900
69,1998-06-01,25.1468,27.7920,33.3878,-0.3272,-0.4657,0.1384,26.5000,27.6200,25.6200,26.2500,0.8308,2854400,0.0000,1.0000,0.8704
70,1998-06-02,26.2029,27.6290,40.1645,-0.3741,-0.4101,0.0359,26.4400,27.3100,26.0000,26.8700,0.8504,1600900,0.0000,1.0000,0.8862
71,1998-06-03,27.1534,27.3230,36.4437,-0.4513,-0.3898,-0.0615,27.1200,27.2500,26.1900,26.3100,0.8327,1295900,0.0000,1.0000,0.8900
72,1998-06-04,28.5077,27.0480,41.7932,-0.4667,-0.3242,-0.1426,26.6200,26.8700,25.8100,26.8100,0.8485,1394100,0.0000,1.0000,0.8644
73,1998-06-05,28.6099,26.8480,42.4392,-0.4687,-0.2609,-0.2078,26.8700,27.2500,26.3700,26.8700,0.8504,1101100,0.0000,1.0000,0.8565
74,1998-06-08,27.5016,26.7860,46.6089,-0.4346,-0.1815,-0.2532,27.0000,27.6900,26.8100,27.2500,0.8625,1130600,0.0000,1.0000,0.8663
75,1998-06-09,24.8713,26.9420,55.9412,-0.3232,-0.0560,-0.2672,27.3700,28.5000,27.3700,28.2500,0.8941,2462000,0.0000,1.0000,0.8802
76,1998-06-10,23.4774,27.0730,53.9504,-0.2473,0.0159,-0.2632,28.0000,29.0000,27.6200,28.0600,0.8881,2046700,0.0000,1.0000,0.8941
77,1998-06-11,22.2229,27.1100,51.2823,-0.2050,0.0465,-0.2516,28.1900,28.6200,27.8100,27.8100,0.8802,1608200,0.0000,1.0000,0.9039
78,1998-06-12,20.0213,27.2600,54.3900,-0.1448,0.0854,-0.2302,27.6200,28.2500,27.3700,28.1200,0.8900,1998700,0.0000,1.0000,0.8922
79,1998-06-15,18.2837,27.3850,47.6371,-0.1455,0.0678,-0.2133,27.2500,28.2500,27.2500,27.5000,0.8704,1220200,0.0000,1.0000,0.9080
80,1998-06-16,16.7198,27.4980,52.8794,-0.1044,0.0871,-0.1915,27.6900,28.1200,27.3100,28.0000,0.8862,1157900,0.0000,1.0000,0.9080
81,1998-06-17,15.9549,27.6790,54.1047,-0.0615,0.1040,-0.1655,28.0000,28.5600,27.9400,28.1200,0.8900,1671200,0.0000,1.0000,0.9476
82,1998-06-18,15.3911,27.7290,45.2750,-0.0918,0.0590,-0.1508,27.7500,28.0600,27.1900,27.3100,0.8644,1071400,0.0000,1.0000,0.9179
83,1998-06-19,15.8148,27.7480,42.8755,-0.1344,0.0131,-0.1475,27.3700,27.4400,26.7500,27.0600,0.8565,1228200,0.0000,1.0000,0.9612
84,1998-06-22,15.8313,27.7600,46.7629,-0.1416,0.0047,-0.1463,27.0000,27.5600,26.7500,27.3700,0.8663,1201500,0.0000,1.0000,0.9653
85,1998-06-23,14.2621,27.7160,51.9227,-0.1105,0.0287,-0.1391,27.4400,28.1200,27.2500,27.8100,0.8802,2063000,0.0000,1.0000,1.0305
86,1998-06-24,14.0168,27.7350,56.5968,-0.0497,0.0715,-0.1213,27.7500,28.6200,27.3100,28.2500,0.8941,2444600,0.0000,1.0000,1.0030
87,1998-06-25,14.2191,27.8100,59.6664,0.0232,0.1155,-0.0924,28.5600,28.8100,28.3100,28.5600,0.9039,1712600,0.0000,1.0000,1.0147
88,1998-06-26,12.8258,27.8170,54.5501,0.0505,0.1143,-0.0638,28.5000,28.6200,27.7500,28.1900,0.8922,992100,0.0000,1.0000,1.0742
89,1998-06-29,12.0574,27.9360,59.7344,0.1112,0.1400,-0.0288,28.2500,28.8100,28.0600,28.6900,0.9080,1483800,0.0000,1.0000,1.0584
90,1998-06-30,11.3658,28.0050,59.7344,0.1575,0.1491,0.0085,28.6200,28.8100,28.1200,28.6900,0.9080,1170200,0.0000,1.0000,1.0900
91,1998-07-01,13.3376,28.1870,70.2190,0.2917,0.2266,0.0651,28.8700,30.0000,28.5000,29.9400,0.9476,2804600,0.0000,1.0000,1.1869
92,1998-07-02,15.2163,28.3560,57.6716,0.3185,0.2027,0.1158,29.6900,30.0600,29.0000,29.0000,0.9179,2661700,0.0000,1.0000,1.1673
93,1998-07-06,17.4482,28.6870,67.1712,0.4452,0.2635,0.1817,29.5000,30.3700,29.1200,30.3700,0.9612,2419200,0.0000,1.0000,1.1473
94,1998-07-07,20.2378,29.0000,67.9300,0.5498,0.2945,0.2553,30.3700,30.8700,30.0000,30.5000,0.9653,2156000,0.0000,1.0000,1.1277
95,1998-07-08,24.7440,29.4750,77.2066,0.7897,0.4276,0.3622,30.7500,32.9400,30.6900,32.5600,1.0305,8328700,0.0000,1.0000,1.1078
96,1998-07-09,29.2129,29.8190,67.9793,0.8994,0.4297,0.4696,32.9400,33.6300,31.4400,31.6900,1.0030,5059000,0.0000,1.0000,1.1059
97,1998-07-10,33.2349,30.1690,69.6910,1.0045,0.4279,0.5766,32.1900,32.6300,31.7500,32.0600,1.0147,2701100,0.0000,1.0000,1.0979
98,1998-07-13,37.5951,30.7440,76.7176,1.2254,0.5190,0.7064,31.9400,34.1300,31.8700,33.9400,1.0742,6387400,0.0000,1.0000,1.0900
99,1998-07-14,41.5194,31.2190,71.7988,1.3446,0.5106,0.8340,33.9400,34.0000,33.1300,33.4400,1.0584,4897600,0.0000,1.0000,1.0644
100,1998-07-15,45.3313,31.7940,75.3158,1.5025,0.5348,0.9677,33.6900,34.6900,33.5000,34.4400,1.0900,5312200,0.0000,1.0000,1.1119
101,1998-07-16,49.5789,32.5500,82.6657,1.8531,0.7083,1.1448,37.8800,38.1300,35.7500,37.5000,1.1869,22869200,0.0000,1.0000,1.1552
102,1998-07-17,53.4017,33.3380,77.4725,2.0573,0.7300,1.3273,37.2500,37.2500,36.1900,36.8800,1.1673,5621000,0.0000,1.0000,1.0961
103,1998-07-20,55.1451,33.9260,72.3414,2.1435,0.6530,1.4905,36.5600,36.6300,35.5000,36.2500,1.1473,3427600,0.0000,1.0000,1.1119
104,1998-07-21,56.8632,34.4390,67.4561,2.1372,0.5173,1.6199,36.1300,37.0000,35.5600,35.6300,1.1277,2942000,0.0000,1.0000,1.0821
105,1998-07-22,55.5256,34.6830,62.6772,2.0577,0.3502,1.7074,34.9400,35.6300,34.2500,35.0000,1.1078,2506500,0.0000,1.0000,1.1394
106,1998-07-23,54.3218,35.0080,62.2109,1.9671,0.2077,1.7594,34.8100,35.6300,34.7500,34.9400,1.1059,2260100,0.0000,1.0000,1.1673
107,1998-07-24,51.3858,35.2710,60.1392,1.8538,0.0755,1.7783,35.3800,35.5000,33.8100,34.6900,1.0979,2422200,0.0000,1.0000,1.1552
108,1998-07-27,47.7595,35.3210,57.9933,1.7239,-0.0435,1.7674,34.2500,34.8800,33.2500,34.4400,1.0900,1912800,0.0000,1.0000,1.2008
109,1998-07-28,44.0632,35.3400,51.3919,1.5379,-0.1836,1.7215,34.0600,34.6300,33.0000,33.6300,1.0644,2012300,0.0000,1.0000,1.2344
110,1998-07-29,42.2774,35.4090,60.6163,1.4943,-0.1817,1.6761,33.7500,35.8800,33.6900,35.1300,1.1119,3997500,0.0000,1.0000,1.2679
111,1998-07-30,41.5398,35.3090,66.9762,1.5525,-0.0989,1.6513,35.8100,36.7500,35.5000,36.5000,1.1552,3234800,0.0000,1.0000,1.2483
112,1998-07-31,39.1113,35.0840,53.8000,1.4311,-0.1762,1.6073,36.6300,36.7500,34.5000,34.6300,1.0961,1634900,0.0000,1.0000,1.2818
113,1998-08-03,35.2775,34.9720,56.3511,1.3596,-0.1981,1.5578,34.2500,35.5600,33.2500,35.1300,1.1119,2694300,0.0000,1.0000,1.3274
114,1998-08-04,32.2440,34.8280,50.5234,1.2131,-0.2757,1.4888,35.5000,36.0000,34.0000,34.1900,1.0821,2624300,0.0000,1.0000,1.3470
115,1998-08-05,29.2268,34.9280,59.4872,1.2289,-0.2079,1.4369,33.7500,36.0000,33.5000,36.0000,1.1394,4054300,0.0000,1.0000,1.2977
116,1998-08-06,27.2768,35.1220,63.0988,1.2975,-0.1115,1.4090,35.0600,36.8800,34.8800,36.8800,1.1673,3916200,0.0000,1.0000,1.2860
117,1998-08-07,26.1358,35.3030,60.5106,1.3061,-0.0823,1.3884,37.1900,37.3800,36.0000,36.5000,1.1552,2660900,0.0000,1.0000,1.3610
118,1998-08-10,25.8929,35.6530,66.3263,1.4128,0.0196,1.3933,36.3100,38.0600,36.2500,37.9400,1.2008,4362500,0.0000,1.0000,1.3037
119,1998-08-11,28.0337,36.1900,69.9464,1.5649,0.1373,1.4276,37.7500,41.0000,37.3800,39.0000,1.2344,15709600,0.0000,1.0000,1.2916
120,1998-08-12,29.9604,36.6830,73.1532,1.7508,0.2586,1.4923,39.7500,40.9400,39.4800,40.0600,1.2679,6158700,0.0000,1.0000,1.2780
121,1998-08-13,31.5056,36.9770,68.4093,1.8270,0.2678,1.5592,39.9400,40.7500,39.3800,39.4400,1.2483,3489100,0.0000,1.0000,1.1869
122,1998-08-14,32.8963,37.5640,71.8741,1.9505,0.3130,1.6375,40.6900,40.7500,39.5000,40.5000,1.2818,4024800,0.0000,1.0000,1.0821
123,1998-08-17,35.4900,38.2450,75.8690,2.1399,0.4019,1.7379,41.0000,42.8100,39.8800,41.9400,1.3274,8311400,0.0000,1.0000,0.9872
124,1998-08-18,38.1137,39.0820,77.4044,2.3133,0.4603,1.8530,42.4400,43.3800,42.2500,42.5600,1.3470,5410300,0.0000,1.0000,1.0802
125,1998-08-19,38.1105,39.5820,65.7149,2.2984,0.3563,1.9421,43.5000,43.7500,41.0000,41.0000,1.2977,4339200,0.0000,1.0000,1.1255
126,1998-08-20,36.8812,39.9570,63.1997,2.2310,0.2311,1.9999,41.0000,41.1300,40.2500,40.6300,1.2860,3499300,0.0000,1.0000,1.0961
127,1998-08-21,37.5721,40.6070,71.0782,2.3418,0.2736,2.0683,40.0000,43.5600,39.0000,43.0000,1.3610,7262300,0.0000,1.0000,1.1119
128,1998-08-24,38.1938,40.9320,60.1507,2.2576,0.1514,2.1061,43.4400,43.5000,40.1300,41.1900,1.3037,5448000,0.0000,1.0000,1.2106
129,1998-08-25,38.7535,41.1130,58.0682,2.1355,0.0235,2.1120,42.3800,42.3800,40.3100,40.8100,1.2916,4424700,0.0000,1.0000,1.1831
130,1998-08-26,37.8231,41.1450,55.6459,1.9813,-0.1046,2.0859,39.8800,41.1300,39.5000,40.3800,1.2780,3629300,0.0000,1.0000,1.2068
131,1998-08-27,35.5768,40.9510,42.4639,1.6081,-0.3822,1.9903,39.2500,39.2500,35.6300,37.5000,1.1869,9948600,0.0000,1.0000,1.1910
132,1998-08-28,34.6533,40.3200,32.6015,1.0333,-0.7656,1.7989,37.1300,38.5000,34.1300,34.1900,1.0821,8323700,0.0000,1.0000,1.1771
133,1998-08-31,35.5254,39.2450,26.4217,0.3319,-1.1736,1.5055,34.7500,34.8800,31.0000,31.1900,0.9872,7752000,0.0000,1.0000,1.2087
134,1998-09-01,35.7450,38.4020,39.0103,0.0132,-1.1939,1.2070,31.3700,35.3800,30.6200,34.1300,1.0802,7759600,0.0000,1.0000,1.1809
135,1998-09-02,33.8893,37.8580,44.1723,-0.1227,-1.0638,0.9411,35.5000,37.3800,35.2500,35.5600,1.1255,7526800,0.0000,1.0000,1.1394
136,1998-09-03,32.9961,37.2580,41.6264,-0.3019,-0.9944,0.6925,35.0000,35.1300,34.0000,34.6300,1.0961,3658500,0.0000,1.0000,1.1631
137,1998-09-04,30.9615,36.4710,43.5693,-0.3989,-0.8732,0.4742,35.5000,36.4400,33.7500,35.1300,1.1119,3368500,0.0000,1.0000,1.1692
138,1998-09-08,28.0800,36.1770,54.1500,-0.2216,-0.5566,0.3351,38.0000,38.2500,36.7500,38.2500,1.2106,3596400,0.0000,1.0000,1.1711
139,1998-09-09,25.4866,35.8340,51.1770,-0.1495,-0.3876,0.2382,38.0600,38.1300,37.0000,37.3800,1.1831,3166900,0.0000,1.0000,1.2125
140,1998-09-10,23.7520,35.6090,53.6163,-0.0315,-0.2157,0.1842,36.2500,38.2500,35.7500,38.1300,1.2068,4704300,0.0000,1.0000,1.2185
141,1998-09-11,21.7518,35.6220,51.7028,0.0215,-0.1302,0.1517,38.5000,39.6300,36.8800,37.6300,1.1910,3145400,0.0000,1.0000,1.2265
142,1998-09-14,19.9516,35.9220,49.9595,0.0276,-0.0993,0.1269,38.2500,38.8100,37.1300,37.1900,1.1771,2206000,0.0000,1.0000,1.2363
143,1998-09-15,18.1869,36.6220,53.8860,0.1119,-0.0120,0.1239,36.7500,38.5600,36.5000,38.1900,1.2087,3871900,0.0000,1.0000,1.2502
144,1998-09-16,16.4024,36.9400,50.0463,0.1064,-0.0140,0.1204,38.6300,38.7500,37.0000,37.3100,1.1809,2311400,0.0000,1.0000,1.2068
145,1998-09-17,15.9086,36.9840,44.7698,-0.0036,-0.0992,0.0956,36.0600,37.1300,35.8800,36.0000,1.1394,2404400,0.0000,1.0000,1.1296
146,1998-09-18,15.7671,37.1960,48.2412,-0.0299,-0.1004,0.0705,36.0600,36.7500,35.5600,36.7500,1.1631,2723900,0.0000,1.0000,1.1097
147,1998-09-21,15.8864,37.3770,49.1410,-0.0350,-0.0844,0.0494,35.6900,36.9400,35.3100,36.9400,1.1692,2641700,0.0000,1.0000,1.0188
148,1998-09-22,15.0432,37.2520,49.4494,-0.0338,-0.0666,0.0327,37.1300,37.6300,36.3800,37.0000,1.1711,2303000,0.0000,1.0000,1.0305
149,1998-09-23,13.7538,37.3450,55.9311,0.0720,0.0314,0.0406,37.2500,38.3800,36.5600,38.3100,1.2125,2570700,0.0000,1.0000,1.0109
150,1998-09-24,13.9157,37.3820,56.8232,0.1692,0.1029,0.0663,37.8800,39.5600,37.7500,38.5000,1.2185,4311100,0.0000,1.0000,0.9751
151,1998-09-25,13.8878,37.4940,58.0645,0.2634,0.1577,0.1057,38.1900,39.1900,37.6300,38.7500,1.2265,2038300,0.0000,1.0000,1.1119
152,1998-09-28,14.9184,37.6810,59.6621,0.3589,0.2026,0.1564,39.7500,40.1900,38.0000,39.0600,1.2363,3619800,0.0000,1.0000,1.1850
153,1998-09-29,15.8459,37.8120,61.9484,0.4648,0.2467,0.2181,39.0600,40.0000,38.1300,39.5000,1.2502,2724400,0.0000,1.0000,1.2265
154,1998-09-30,16.4417,37.8940,51.7927,0.4331,0.1721,0.2611,38.7500,39.2500,38.0000,38.1300,1.2068,1492700,0.0000,1.0000,1.1831
155,1998-10-01,16.2848,37.8630,39.1060,0.2088,-0.0418,0.2506,36.7500,38.0000,35.3800,35.6900,1.1296,3305500,0.0000,1.0000,1.1594
156,1998-10-02,17.3154,37.6940,36.5384,-0.0197,-0.2162,0.1966,35.5000,36.2500,34.1300,35.0600,1.1097,4246200,0.0000,1.0000,1.1613
157,1998-10-05,20.0302,37.2190,27.4241,-0.4274,-0.4991,0.0718,34.0000,34.5600,31.5000,32.1900,1.0188,4927500,0.0000,1.0000,1.1869
158,1998-10-06,22.4734,36.7750,29.9278,-0.7124,-0.6273,-0.0851,33.6900,34.3100,32.5000,32.5600,1.0305,3570200,0.0000,1.0000,1.1413
159,1998-10-07,25.0453,36.1380,28.1215,-0.9770,-0.7136,-0.2634,32.3800,33.3100,31.8700,31.9400,1.0109,4226400,0.0000,1.0000,1.1752
160,1998-10-08,28.8381,35.3690,25.0587,-1.2634,-0.8000,-0.4634,31.0000,31.1900,28.5000,30.8100,0.9751,6153700,0.0000,1.0000,1.1631
161,1998-10-09,27.7477,35.0070,48.7630,-1.1287,-0.5322,-0.5965,31.7500,35.2500,30.7500,35.1300,1.1119,5966400,0.0000,1.0000,1.1236
162,1998-10-12,25.4718,34.8450,56.8686,-0.8261,-0.1837,-0.6424,37.5000,38.4400,36.5600,37.4400,1.1850,5561600,0.0000,1.0000,1.1850
163,1998-10-13,23.8827,34.7700,60.7783,-0.4751,0.1339,-0.6089,38.0600,39.1900,36.0000,38.7500,1.2265,8407400,0.0000,1.0000,1.1157
164,1998-10-14,23.6439,34.6950,54.9865,-0.3039,0.2440,-0.5479,39.7500,41.3100,36.8100,37.3800,1.1831,20357300,0.0000,1.0000,1.1650
