,ADX,SMA,RSI,MACD,MACD_Hist,MACD_Signal,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
140,23.7520,35.6090,53.6163,-0.0315,-0.2157,0.1842,36.2500,38.2500,35.7500,38.1300,1.2068,4704300,0.0000,1.0000
141,21.7518,35.6220,51.7028,0.0215,-0.1302,0.1517,38.5000,39.6300,36.8800,37.6300,1.1910,3145400,0.0000,1.0000
142,19.9516,35.9220,49.9595,0.0276,-0.0993,0.1269,38.2500,38.8100,37.1300,37.1900,1.1771,2206000,0.0000,1.0000
143,18.1869,36.6220,53.8860,0.1119,-0.0120,0.1239,36.7500,38.5600,36.5000,38.1900,1.2087,3871900,0.0000,1.0000
144,16.4024,36.9400,50.0463,0.1064,-0.0140,0.1204,38.6300,38.7500,37.0000,37.3100,1.1809,2311400,0.0000,1.0000
145,15.9086,36.9840,44.7698,-0.0036,-0.0992,0.0956,36.0600,37.1300,35.8800,36.0000,1.1394,2404400,0.0000,1.0000
146,15.7671,37.1960,48.2412,-0.0299,-0.1004,0.0705,36.0600,36.7500,35.5600,36.7500,1.1631,2723900,0.0000,1.0000
147,15.8864,37.3770,49.1410,-0.0350,-0.0844,0.0494,35.6900,36.9400,35.3100,36.9400,1.1692,2641700,0.0000,1.0000
148,15.0432,37.2520,49.4494,-0.0338,-0.0666,0.0327,37.1300,37.6300,36.3800,37.0000,1.1711,2303000,0.0000,1.0000
149,13.7538,37.3450,55.9311,0.0720,0.0314,0.0406,37.2500,38.3800,36.5600,38.3100,1.2125,2570700,0.0000,1.0000
150,13.9157,37.3820,56.8232,0.1692,0.1029,0.0663,37.8800,39.5600,37.7500,38.5000,1.2185,4311100,0.0000,1.0000
151,13.8878,37.4940,58.0645,0.2634,0.1577,0.1057,38.1900,39.1900,37.6300,38.7500,1.2265,2038300,0.0000,1.0000
152,14.9184,37.6810,59.6621,0.3589,0.2026,0.1564,39.7500,40.1900,38.0000,39.0600,1.2363,3619800,0.0000,1.0000
153,15.8459,37.8120,61.9484,0.4648,0.2467,0.2181,39.0600,40.0000,38.1300,39.5000,1.2502,2724400,0.0000,1.0000
