,Target
980,1.5249
981,1.5648
982,1.5452
983,1.6047
984,1.6110
985,1.5616
986,1.5382
987,1.5211
988,1.5813
989,1.5642
990,1.5831
991,1.5572
992,1.5129
993,1.4319
994,1.4641
995,1.3610
996,1.4395
997,1.5072
998,1.4983
999,1.3901
1000,1.3736
1001,1.4844
1002,1.5376
1003,1.4895
1004,1.5236
1005,1.5433
1006,1.5610
1007,1.5863
1008,1.5648
1009,1.5502
1010,1.5464
1011,1.5794
1012,1.5661
1013,1.5730
1014,1.5775
1015,1.5363
1016,1.5249
1017,1.4781
1018,1.4850
1019,1.4857
1020,1.4983
1021,1.5483
1022,1.5236
1023,1.5034
1024,1.5762
1025,1.5661
1026,1.5547
1027,1.5255
1028,1.5610
1029,1.5737
1030,1.5863
1031,1.5825
1032,1.6294
1033,1.6528
1034,1.6085
1035,1.5813
1036,1.5528
1037,1.5350
1038,1.5047
1039,1.5268
1040,1.4565
1041,1.5167
1042,1.5363
1043,1.5179
1044,1.4996
1045,1.4882
1046,1.4338
1047,1.4224
1048,1.5426
1049,1.5312
1050,1.4762
1051,1.5154
1052,1.6211
1053,1.6002
1054,1.5958
1055,1.5831
1056,1.5661
1057,1.4850
1058,1.5395
1059,1.5939
1060,1.5287
1061,1.5179
1062,1.5179
1063,1.5319
1064,1.4749
1065,1.4502
1066,1.4420
1067,1.4382
1068,1.4027
1069,1.3546
1070,1.3597
1071,1.2951
1072,1.2717
1073,1.2369
1074,1.2723
1075,1.3002
1076,1.2755
1077,1.0837
1078,1.0831
1079,1.0666
1080,1.0932
1081,1.0850
1082,1.0476
1083,1.0799
1084,1.1217
1085,1.0799
1086,1.0723
1087,1.1109
1088,1.1863
1089,1.1400
1090,1.1097
1091,1.0964
1092,1.1584
1093,1.1078
1094,1.1540
1095,1.1305
1096,0.9894
1097,0.9489
1098,0.9470
1099,0.9444
1100,0.9160
1101,0.9622
1102,0.9090
1103,0.9077
1104,0.9508
1105,0.9767
1106,0.9660
1107,0.9368
1108,0.9147
1109,0.8856
1110,0.9331
1111,0.9514
1112,0.9685
1113,0.9495
1114,0.9489
1115,0.9236
1116,0.9603
1117,0.9881
1118,1.0008
1119,1.0115
1120,1.0071
1121,1.0204
1122,1.0109
1123,0.9957
1124,0.9831
1125,0.9400
1126,0.9305
1127,0.9305
1128,0.9337
1129,0.8894
1130,0.9166
1131,0.8976
1132,0.9103
1133,0.9096
1134,0.9071
1135,0.9046
1136,0.8951
1137,0.8970
1138,0.9179
1139,0.9368
1140,0.9508
1141,0.9229
1142,0.9413
1143,0.9400
1144,0.9267
1145,0.9451
1146,0.9305
1147,0.9318
1148,0.9179
1149,0.9185
1150,0.8970
1151,0.9052
1152,0.8881
1153,0.8716
1154,0.8666
